Wls,LMS_low,LMS_low_pos,LMS_low_neg,LMS_high,LMS_high_pos,LMS_high_neg,Mel_low,Mel_low_pos,Mel_low_neg,Mel_high,Mel_high_pos,Mel_high_neg
407,0.000390011797130899,0.000388905986553199,0.000391111373857498,0.00044232554072143,0.000445604134763912,0.000439045874321513,0.000380410007771364,0.000382482287761765,0.000378334853580857,0.000420292500136747,0.000430165827683494,0.000410418583661326
408,0.00043272,0.000431275,0.00043416,0.000487475,0.000491465,0.00048349,0.000421555,0.00042374,0.00041937,0.000464105,0.000475805,0.0004524
409,0.000467637531427709,0.000466240908650632,0.000469046175207177,0.000526067198549962,0.000530683083845721,0.000521487797141731,0.000458881736351422,0.00046153985143655,0.000456223788031371,0.000496752864677327,0.000509326228487227,0.000484176444356368
410,0.0005002,0.000498575,0.00050185,0.00056045,0.00056505,0.0005559,0.000492845,0.00049585,0.00048984,0.00052815,0.00054105,0.00051525
411,0.000535535577158265,0.000532846628844272,0.000538240175313793,0.000593235665078723,0.000596921654853205,0.000589557312111561,0.000523888046822949,0.000526710181492034,0.000521067494293659,0.000567415416153947,0.000580726758367598,0.000554103138913203
412,0.00057105,0.00056725,0.00057485,0.0006243,0.00062695,0.0006216,0.0005535,0.000556,0.000551,0.00060695,0.0006207,0.0005932
413,0.000601760159939233,0.00059768507597228,0.000605831873537652,0.000651343266135146,0.00065351967174146,0.000649094204412023,0.000581489826356782,0.000583855672595312,0.000579117484793991,0.000636323595706884,0.000650211113042379,0.000622442249990822
414,0.00062085,0.00061725,0.00062445,0.0006661,0.00066765,0.0006645,0.0005999,0.0006016,0.0005982,0.0006505,0.0006635,0.0006375
415,0.000621355033084803,0.00061866619226661,0.000624044830535599,0.000659510020380693,0.000659649658180954,0.000659378370240347,0.000600295772749923,0.000600298378126716,0.000600323816530375,0.000645233951018516,0.000655747539462885,0.00063469036112351
416,0.00059755,0.00059595,0.00059915,0.0006253,0.00062435,0.0006263,0.0005801,0.0005788,0.00058145,0.00061405,0.0006209,0.00060715
417,0.000546938457721556,0.000546352029961281,0.000547524429319952,0.000561848527342083,0.000561182945534722,0.00056254856462659,0.000538925832643527,0.000538018939897823,0.000539859749084507,0.000554016225219052,0.00055686560410608,0.00055113693051514
418,0.0004787,0.000478765,0.000478635,0.000483355,0.00048346,0.00048325,0.00047929,0.000479345,0.00047923,0.000478605,0.000478635,0.000478575
419,0.000402536136028972,0.000402711312888266,0.000402361827184594,0.000403819620250976,0.000404112309680156,0.000403518621253292,0.000404587146675969,0.000404848362281991,0.000404316562131597,0.000401211148105275,0.000400706919112795,0.000401721291815931
420,0.00031856,0.00031859,0.00031853,0.000320625,0.00032067,0.00032058,0.00031882,0.000318845,0.000318795,0.000318515,0.00031853,0.0003185
421,0.000228117623162555,0.000228086468485654,0.000228145136941671,0.000231574866654014,0.000231398440744653,0.000231756950360242,0.000228278705652596,0.000228216985974213,0.000228342752389106,0.000227984807359847,0.000228142969442738,0.000227827277221136
422,0.000147075,0.000147155,0.00014699,0.000152775,0.000152905,0.00015265,0.000147795,0.000147865,0.000147725,0.000146955,0.000146995,0.00014692
423,9.08627463208094e-05,9.11903131691161e-05,9.05351250487227e-05,0.000100242163132969,0.000101433927341232,9.90498273057404e-05,9.08999057136463e-05,9.12324438211571e-05,9.05668033119791e-05,9.25977474553373e-05,9.27174531162511e-05,9.24845992995258e-05
424,5.865e-05,5.908e-05,5.8225e-05,7.1335e-05,7.3435e-05,6.923e-05,5.738e-05,5.7915e-05,5.6845e-05,6.157e-05,6.226e-05,6.0885e-05
425,4.48862665542079e-05,4.5060091337881e-05,4.47163628634386e-05,5.89452308141115e-05,6.09683498904184e-05,5.69187404167966e-05,4.26502339928185e-05,4.31888012411586e-05,4.21115343629776e-05,4.62309528188041e-05,4.80695305922573e-05,4.43942005807609e-05
426,4.1404e-05,4.12675e-05,4.1541e-05,5.6755e-05,5.833e-05,5.518e-05,3.83835e-05,3.88995e-05,3.7867e-05,4.2264e-05,4.52635e-05,3.9264e-05
427,4.06788124623589e-05,4.04993839793599e-05,4.08577984975231e-05,5.87006636105854e-05,6.02770480970941e-05,5.71245860270731e-05,3.66015958150797e-05,3.72392887142085e-05,3.59635592361104e-05,4.55168787694465e-05,4.90957370147197e-05,4.19378483774305e-05
428,4.0376e-05,4.0293e-05,4.0459e-05,5.8945e-05,6.1175e-05,5.6715e-05,3.4464e-05,3.5217e-05,3.3711e-05,4.91705e-05,5.2695e-05,4.5647e-05
429,3.96667960963563e-05,3.96145602446793e-05,3.97188806464691e-05,5.4124614743547e-05,5.74659577212051e-05,5.07854154749109e-05,3.12223827468629e-05,3.19271064020076e-05,3.05177286925807e-05,4.79143446034099e-05,5.0932208848864e-05,4.48974684095172e-05
430,3.85565e-05,3.8406e-05,3.87065e-05,5.0545e-05,5.429e-05,4.6805e-05,2.93595e-05,2.999e-05,2.8729e-05,4.5139e-05,4.7772e-05,4.25065e-05
431,3.73593781522157e-05,3.69900000419231e-05,3.77284289166007e-05,5.41658774152267e-05,5.67428710180853e-05,5.15950020732832e-05,3.09874356974688e-05,3.16352856777613e-05,3.03395884935669e-05,4.50908053169139e-05,4.79001150898244e-05,4.22819654845006e-05
432,3.67915e-05,3.62365e-05,3.73465e-05,5.9895e-05,6.1045e-05,5.875e-05,3.35045e-05,3.40035e-05,3.30055e-05,4.6738e-05,4.9793e-05,4.3683e-05
433,3.74298162947808e-05,3.68700020876285e-05,3.79896536871282e-05,6.17987505955461e-05,6.27181832064537e-05,6.08814512319563e-05,3.40260619632621e-05,3.40743758869472e-05,3.39776673331519e-05,4.81778716289346e-05,5.10735807918385e-05,4.52806071524805e-05
434,3.8893e-05,3.8486e-05,3.93e-05,6.163e-05,6.3365e-05,5.9895e-05,3.32495e-05,3.32735e-05,3.32255e-05,4.9302e-05,5.216e-05,4.6442e-05
435,4.0532606668661e-05,4.03523041075629e-05,4.07131438348865e-05,6.21803702025889e-05,6.51212711560997e-05,5.92398179988917e-05,3.25554414494829e-05,3.351333577445e-05,3.15979296738257e-05,5.04313331673476e-05,5.38656867428217e-05,4.69972934055774e-05
436,4.159e-05,4.1555e-05,4.16255e-05,6.271e-05,6.6175e-05,5.9245e-05,3.24755e-05,3.4208e-05,3.07435e-05,5.181e-05,5.579e-05,4.7832e-05
437,4.16022570305751e-05,4.154440648212e-05,4.1660645973326e-05,6.24935185940982e-05,6.51254821691474e-05,5.98580267724768e-05,3.32859222388064e-05,3.4635406015253e-05,3.19363639715455e-05,5.33710457016751e-05,5.72652972368746e-05,4.94766567252098e-05
438,4.13995e-05,4.14095e-05,4.139e-05,6.4395e-05,6.6165e-05,6.262e-05,3.50905e-05,3.6027e-05,3.41535e-05,5.388e-05,5.777e-05,4.99865e-05
439,4.19648652090385e-05,4.23488824639571e-05,4.15813972718097e-05,7.05436804210183e-05,7.27555501673109e-05,6.8331824911201e-05,3.76892445952916e-05,3.93184776645382e-05,3.60599894399922e-05,5.27684840259522e-05,5.73643743096797e-05,4.81676421935833e-05
440,4.36005e-05,4.4361e-05,4.28405e-05,7.654e-05,7.9845e-05,7.324e-05,3.98395e-05,4.2309e-05,3.73705e-05,5.33e-05,5.829e-05,4.8305e-05
441,4.60697821332707e-05,4.68925011620516e-05,4.52472024394352e-05,7.82542597218288e-05,8.23398171616092e-05,7.41721735827191e-05,4.06877868800272e-05,4.30801833265942e-05,3.82956782684858e-05,5.80531431945163e-05,6.22097055244065e-05,5.38917120004569e-05
442,4.7662e-05,4.8383e-05,4.69405e-05,7.9165e-05,8.3495e-05,7.4835e-05,4.198e-05,4.398e-05,3.99805e-05,6.3035e-05,6.629e-05,5.9775e-05
443,4.71103812578786e-05,4.77828003878366e-05,4.64369179704496e-05,8.31699056916666e-05,8.72308061862524e-05,7.91088557579225e-05,4.51559203845996e-05,4.71987890290848e-05,4.31150474860647e-05,6.41314431959827e-05,6.76024285926942e-05,6.0655072304589e-05
444,4.6398e-05,4.7092e-05,4.5704e-05,8.8235e-05,9.178e-05,8.469e-05,4.78315e-05,5.003e-05,4.56355e-05,6.3315e-05,6.7335e-05,5.929e-05
445,4.76637553352149e-05,4.84026722866019e-05,4.69281256787666e-05,9.18454925115047e-05,9.49644580933812e-05,8.87236533855909e-05,4.78214065815745e-05,4.99004730570665e-05,4.57426942872555e-05,6.36042090215527e-05,6.75574551048166e-05,5.96479987811871e-05
446,5.042e-05,5.1125e-05,4.972e-05,9.5495e-05,9.865e-05,9.2335e-05,4.7559e-05,4.96675e-05,4.545e-05,6.6115e-05,6.975e-05,6.248e-05
447,5.36803474012618e-05,5.41963854657559e-05,5.3166516814484e-05,0.000101281249262315,0.000105081986440223,9.7477780699714e-05,4.97623907891024e-05,5.24346312426491e-05,4.70931753649135e-05,7.10323457178064e-05,7.45977509880395e-05,6.74698075706625e-05
448,5.709e-05,5.7345e-05,5.6835e-05,0.00010971,0.00011398,0.00010544,5.367e-05,5.686e-05,5.0485e-05,7.672e-05,8.0195e-05,7.325e-05
449,6.04008550597381e-05,6.04770358503744e-05,6.03275570632974e-05,0.000121858260439237,0.000125755096145728,0.000117960848815553,5.8091342762016e-05,6.12069394723372e-05,5.49759167530907e-05,8.14626581072217e-05,8.45509159430253e-05,7.8380270936163e-05
450,6.316e-05,6.342e-05,6.2905e-05,0.00014268,0.00014611,0.00013925,6.36e-05,6.6605e-05,6.059e-05,8.505e-05,8.7925e-05,8.218e-05
451,6.5331857359786e-05,6.63342211327464e-05,6.43301299323263e-05,0.000178390708980739,0.000182192628976865,0.000174593824038073,7.11633631628338e-05,7.4683548368002e-05,6.76394076227239e-05,8.79032718533066e-05,9.12167102398592e-05,8.45922336846855e-05
452,6.8755e-05,7.079e-05,6.6715e-05,0.000236375,0.00024164,0.000231115,8.156e-05,8.6205e-05,7.6915e-05,9.1465e-05,9.5635e-05,8.7295e-05
453,7.52129655011179e-05,7.84748296186402e-05,7.19450482073974e-05,0.000332375778637809,0.000340371887946813,0.000324374480032155,9.69395795866489e-05,0.000103208242055655,9.06720777560138e-05,9.68255044795518e-05,0.000101984118097538,9.16664193250949e-05
454,8.4395e-05,9.0135e-05,7.865e-05,0.0005144,0.00052695,0.00050185,0.000125125,0.000133705,0.000116545,0.000102645,0.00010914,9.615e-05
455,9.54562806357425e-05,0.000105847085392693,8.50603022380841e-05,0.000822113051468027,0.000841442319235882,0.000802820130833308,0.00017272519349057,0.000184561608409379,0.000160887281353221,0.000107355335228486,0.00011580556736999,9.89052140149348e-05
456,0.00010751,0.00012395,9.1065e-05,0.00122955,0.0012573,0.00120185,0.00023582,0.00025209,0.00021955,0.000110905,0.00012192,9.989e-05
457,0.000119990036955912,0.000142870578810588,9.71068678402663e-05,0.00169668764049008,0.00173380758510966,0.00165956562163461,0.000308176521451069,0.000330127824306831,0.000286230046831102,0.000114034404606503,0.000128112362422503,9.99564746151658e-05
458,0.000133655,0.000163125,0.000104185,0.0021929,0.0022402,0.00214555,0.00038484,0.00041317,0.00035651,0.000119135,0.000136535,0.000101735
459,0.000149249196540608,0.000185384974364957,0.000113114101400851,0.00269096138657164,0.00274911484032549,0.00263277988262824,0.000461425595705152,0.000496150219363298,0.000426680031322369,0.0001279426713455,0.000148634357939998,0.000107250762524402
460,0.000166135,0.000208855,0.000123415,0.00316785,0.00323685,0.00309885,0.00053455,0.0005751,0.000493975,0.00013792,0.00016151,0.00011433
461,0.000183171301881654,0.000232152023729585,0.00013418985155633,0.00360320431322336,0.00368226430358839,0.00352411484785242,0.000601369845728321,0.000646758798239975,0.000555994202879421,0.000146165535011495,0.000171985205817503,0.000120346725287227
462,0.000198585,0.00025301,0.00014416,0.0039831,0.0040708,0.00389535,0.0006602,0.0007096,0.00061085,0.000152595,0.000180125,0.000125065
463,0.000211004970932775,0.000269683180716702,0.000152329617373828,0.00430065886053492,0.00439521544532095,0.00420610447596207,0.000710462521381562,0.000763335837676801,0.000657628782159946,0.000158022688608519,0.000187024193789988,0.000129017336326691
464,0.0002213,0.00028339,0.000159215,0.00457075,0.00467095,0.0044706,0.00075485,0.0008109,0.0006988,0.00016404,0.000194655,0.00013342
465,0.000231095689387246,0.000296223378403607,0.00016597167894836,0.00481246024463695,0.00491776141512782,0.00470719224829931,0.000796230068745431,0.000855347851052823,0.000737075043480795,0.00017232871055443,0.000204961144022543,0.000139697054406011
466,0.000242805,0.00031081,0.0001748,0.00504,0.00515,0.0049301,0.0008349,0.000897,0.00077275,0.000184155,0.000218895,0.00014942
467,0.00025763602151824,0.000328402055668871,0.000186866166832734,0.00525698141091727,0.00537119514416777,0.00514312028084069,0.000869867203636716,0.000934735258111908,0.000804971043916873,0.000199211844173762,0.000235725605119839,0.000162698196049267
468,0.00027119,0.00034422,0.000198155,0.0054295,0.005547,0.0053125,0.00089755,0.0009644,0.0008307,0.000211315,0.00024898,0.000173645
469,0.000278817724539792,0.000353064648920909,0.000204568653720703,0.00551320786169395,0.00563245175820111,0.00539425162833791,0.000912926116707707,0.000980398616499545,0.000845459530851714,0.000215259537750524,0.000253247060498103,0.000177270786396921
470,0.000280475,0.00035409,0.00020686,0.0054595,0.005578,0.005341,0.0009078,0.0009744,0.0008412,0.000215635,0.000253105,0.00017817
471,0.000276965580322591,0.000347374973647494,0.000206553593284453,0.00522488089230691,0.0053390853230278,0.00511062320580766,0.000874522079532457,0.000938576525889911,0.00081046583267627,0.000217704379824144,0.000253764902887751,0.00018164990836305
472,0.00026788,0.000332345,0.00020341,0.00479055,0.0048957,0.0046854,0.0008108,0.00086985,0.00075175,0.00021963,0.00025298,0.000186285
473,0.000252864954169843,0.000308752956489115,0.000196974473141485,0.0041575060690784,0.00424822569968767,0.00406676804843146,0.000717360565162464,0.000768395279940809,0.000666327138443206,0.000218512942952901,0.000247559577950894,0.000189472080150879
474,0.000233005,0.000278315,0.000187695,0.00338125,0.00345405,0.0033084,0.00060165,0.00064265,0.00056065,0.00021431,0.000237995,0.00019063
475,0.000210346477998036,0.000244007575396047,0.000176682889149607,0.0025413885813795,0.0025953306282215,0.0024874358504665,0.000474936284817687,0.000505294229346853,0.000444574363550906,0.000208260098364251,0.000226224285308674,0.000190295521033432
476,0.000189345,0.000211885,0.0001668,0.00175945,0.0017963,0.00172265,0.000357055,0.000377715,0.00033639,0.000203875,0.00021629,0.000191455
477,0.000174319758838013,0.000187802366926696,0.000160834595260088,0.0011452083554036,0.00116889553742633,0.00112158854970254,0.000266162420566789,0.00027935967767178,0.00025296603235317,0.000203995413590096,0.000211587030814411,0.000196400210715392
478,0.000166635,0.00017374,0.00015953,0.0007195,0.0007338,0.00070525,0.00020513,0.00021321,0.000197055,0.000206505,0.000210815,0.000202195
479,0.00016638511164991,0.00016993170689717,0.00016283622981004,0.000470636747006114,0.000478694722073192,0.000462601200723354,0.000171469657915158,0.000176488309966026,0.000166450882036414,0.000209446997275365,0.00021254259143368,0.000206352386105
480,0.00017154,0.0001735,0.000169575,0.00034577,0.00035051,0.00034103,0.00015654,0.000159845,0.00015323,0.00021646,0.00021951,0.00021341
481,0.000179434794562345,0.000180768305484624,0.000178097985499751,0.000288277156571949,0.000292179324280904,0.000284367272404047,0.000151329572772578,0.000153549582464115,0.000149109189501175,0.000230269097308443,0.000233374478450867,0.000227162744864609
482,0.00018699,0.000187975,0.000186005,0.0002676,0.0002714,0.000263795,0.0001515,0.00015292,0.000150085,0.00024435,0.00024729,0.00024141
483,0.00019182321010071,0.000192330696164334,0.000191316828190955,0.00026260587670609,0.000265533605803193,0.000259679084660457,0.000154231425994528,0.000154938360177515,0.000153526109958887,0.000252049738490863,0.000254553244762851,0.000249549759436564
484,0.000194755,0.00019502,0.00019449,0.0002638,0.000265835,0.00026177,0.000158105,0.000158195,0.00015801,0.00025545,0.000257535,0.00025337
485,0.000197339240034816,0.00019792640985804,0.00019674970173643,0.000265611836603691,0.000267597502506324,0.000263630138954126,0.000161961598249309,0.000161558851825827,0.000162356995663277,0.000258201948728103,0.000260136917497727,0.000256267592389135
486,0.00020086,0.000201755,0.00019996,0.00026653,0.000268375,0.000264685,0.00016428,0.000163405,0.00016515,0.0002615,0.00026331,0.000259685
487,0.000206254829760025,0.000206841789403505,0.000205661239863325,0.000266362401879147,0.000267054509171511,0.000265666609523041,0.000164264681008235,0.000162849982519179,0.000165679657388005,0.000265998091596723,0.00026742471024624,0.000264564871006895
488,0.000213345,0.000213225,0.00021346,0.000266135,0.000265595,0.00026667,0.000164385,0.00016247,0.000166305,0.000272645,0.00027348,0.000271805
489,0.000222000190925082,0.000221180807527941,0.000222820338810268,0.000267389180879722,0.000266556335807632,0.000268219047953712,0.00016729280271775,0.000165082468097458,0.000169509374784702,0.000282339434885004,0.000282619866517314,0.000282056673583283
490,0.0002334,0.000232235,0.00023457,0.00027251,0.00027183,0.00027319,0.000173105,0.00017101,0.000175205,0.000295485,0.00029594,0.00029503
491,0.000249451906539647,0.000248443730484733,0.000250463029895602,0.000282324624601966,0.000281482022597961,0.000283168448662111,0.000180768483120765,0.000179232645090991,0.000182307218473187,0.000311724793863263,0.000313533948684506,0.000309916559659973
492,0.000273665,0.000272735,0.000274595,0.000290585,0.000288945,0.000292225,0.000187085,0.000185855,0.000188315,0.000328155,0.000331535,0.000324775
493,0.000315551557916331,0.000314039895533129,0.000317065041607325,0.000291797320712413,0.000288609323800524,0.000294982157397842,0.000189468889799189,0.00018767132653858,0.000191263001322551,0.000341918889661946,0.000346453713744662,0.000337381462776826
494,0.000407035,0.00040443,0.000409645,0.00029056,0.00028533,0.000295785,0.00018993,0.00018711,0.000192745,0.000352895,0.00036027,0.000345515
495,0.00058647936179503,0.000582369187382753,0.000590594303675099,0.000292399217548381,0.000284583182199942,0.00030021229674652,0.000190895332682477,0.000187185798754691,0.000194602026236608,0.000363220272488954,0.000377737446336845,0.000348698214232722
496,0.0008956,0.00088875,0.00090245,0.00029646,0.000283865,0.000309055,0.000191865,0.000187625,0.000196105,0.00038133,0.000409235,0.000353425
497,0.00136874599490355,0.00135713647993586,0.00138034899369228,0.000301735809094063,0.000280664822399708,0.000322807405616079,0.000192219779470902,0.000187916728442656,0.000196523268731017,0.000416450020382238,0.000465434000907956,0.000367475680292287
498,0.00200745,0.00198935,0.00202555,0.000312995,0.000280425,0.000345565,0.00019379,0.00018989,0.00019769,0.00047467,0.00055255,0.000396805
499,0.00279386603359077,0.00276805114287381,0.00281970284655579,0.000333820046075367,0.000287781278201227,0.000379858705789165,0.000197995549433914,0.000194807912474686,0.000201183648839325,0.000564935270982094,0.000678610925031329,0.000451268439598132
500,0.00366545,0.003631,0.0036999,0.000357275,0.00029619,0.00041836,0.000202165,0.00019933,0.000205,0.00071075,0.00086335,0.00055815
501,0.00455076487073337,0.00450719644856888,0.00459425212008456,0.00037588838160447,0.000298726314795384,0.000453050271227261,0.00020385802279344,0.000200527871658602,0.000207185260911683,0.000942907645689387,0.00113368292396673,0.000752130561315186
502,0.0053875,0.0053355,0.0054395,0.000390565,0.00029812,0.00048301,0.00020565,0.000201725,0.00020957,0.0013068,0.00153355,0.00108005
503,0.00612273698347577,0.00606395681285065,0.00618188242310597,0.000403709552506755,0.000298495337617237,0.000508924584301793,0.000210223609392325,0.000206344975890907,0.000214099057513942,0.00184377414626036,0.00210307612910176,0.00158446619014112
504,0.006732,0.0066675,0.006797,0.00041535,0.0002999,0.0005308,0.000215675,0.00021196,0.00021939,0.0025644,0.0028501,0.00227865
505,0.00720465594536357,0.00713485130002851,0.00727445568749156,0.000425297783368511,0.000301728584735667,0.00054886264156557,0.000221191914637258,0.000216998474777771,0.000225386634032548,0.00347080826926918,0.00377415630962622,0.00316733592812031
506,0.007557,0.007483,0.0076305,0.000434875,0.00030484,0.0005649,0.000234915,0.000229165,0.000240665,0.00456215,0.00487385,0.0042504
507,0.00781157673506998,0.0077352004870353,0.00788760732692778,0.0004449986890192,0.000309864073440095,0.000580119849435929,0.000265447482058641,0.000256721124998008,0.000274170656355866,0.00581611152666293,0.00612634863239335,0.00550615259737761
508,0.007989,0.0079115,0.0080665,0.000453455,0.00031505,0.00059185,0.00031429,0.00030088,0.000327695,0.0071275,0.007424,0.0068315
509,0.00810622461435654,0.00802809675183027,0.0081843650047973,0.000458128085554687,0.000318588246503954,0.000597670460690713,0.000381637532128176,0.000361520150230197,0.000401751990543989,0.00839953937407909,0.00866771791080039,0.00813165993236922
510,0.0081675,0.008089,0.008246,0.000460425,0.000320815,0.00060005,0.000469565,0.00044023,0.0004989,0.009652,0.0098775,0.0094265
511,0.00816696230750388,0.0080883500056436,0.00824587015388301,0.00046221521876205,0.000322699815544091,0.000601748307801219,0.000578281139428654,0.000537053899081206,0.000619508881468179,0.0109148747270207,0.0110846359744051,0.0107450701731455
512,0.008071,0.007993,0.0081495,0.000463695,0.0003256,0.0006018,0.00069865,0.00064415,0.00075315,0.0121425,0.0122465,0.0120385
513,0.00783048865562795,0.00775450322559532,0.00790671687967065,0.000463946039397114,0.000330188741319683,0.00059769880810441,0.000819648535157208,0.00075203550344498,0.000887261858583296,0.0132728367178381,0.0133040506915792,0.0132415593750488
514,0.007362,0.0072905,0.0074335,0.000459265,0.000334015,0.0005845,0.00093205,0.00085255,0.00101155,0.014254,0.0142065,0.0143015
515,0.00659689556998433,0.00653313709197511,0.00666088732743438,0.000446699373649494,0.000334985844177178,0.00055840020978114,0.00102861409494252,0.000939176587138875,0.00111804993419864,0.0150464034016268,0.014915161259278,0.0151780048266593
516,0.00556,0.0055065,0.005614,0.000429085,0.000335565,0.0005226,0.00110825,0.00101065,0.00120585,0.0156495,0.0154315,0.015868
